,Tm,Score,Home,Date,Score_L3,FrDwns_L3,TotYds_L3,T_O_L3,Pen_L3,Pen_Yds_L3,ThdDwns_L3,ThdDwnAtt_L3,Pass_Cmp_L3,Pass_Att_L3,Pass_Yds_L3,Pass_TD_L3,Pass_Int_L3,QB_Rate_L3,YAC_L3,Drops_L3,QB_BadTh_L3,QB_Sk_L3,QB_Hrry_L3,QB_Hits_L3,QB_Prss_L3,Rush_Att_L3,Rush_Yds_L3,Rush_TD_L3,Rush_YAC_L3,Rush_YPC_L3,XPM_L3,XPA_L3,FGM_L3,FGA_L3,Score_opp_L3,FrDwns_opp_L3,TotYds_opp_L3,TO_opp_L3,Pen_opp_L3,Pen_Yds_opp_L3,ThdDwns_opp_L3,ThdDwnAtt_opp_L3,Pass_Cmp_opp_L3,Pass_Att_opp_L3,Pass_Yds_opp_L3,Pass_TD_opp_L3,Pass_Int_opp_L3,QB_Rate_opp_L3,YAC_opp_L3,Drops_opp_L3,QB_BadTh_opp_L3,QB_Sk_opp_L3,QB_Hrry_opp_L3,QB_Hits_opp_L3,QB_Prss_opp_L3,Rush_Att_opp_L3,Rush_Yds_opp_L3,Rush_TD_opp_L3,Rush_YAC_opp_L3,Rush_YPC_opp_L3,XPM_opp_L3,XPA_opp_L3,FGM_opp_L3,FGA_opp_L3
108,LAC,0.4915254237288136,1.0,2018-09-30,0.5155847199437543,0.6266786034019695,0.6457296153945365,0.3325,0.3945454545454546,0.2719115381129339,0.3597122302158273,0.2858672376873661,0.5842886041807149,0.5293672800604992,0.5606361323155216,0.5717344753747323,0.11,0.7760617760617761,0.635439026883369,0.4109347442680776,0.4245454545454545,0.1994002998500749,0.4475138121546961,0.3933547695605573,0.4823151125401929,0.259665320253895,0.34929822570272,0.2233333333333333,0.491015655124547,0.7014652014652013,0.315955766192733,0.368088467614534,0.3325,0.3856812933025403,0.6015217391304348,0.6968181818181819,0.5790494157103181,0.1547344110854503,0.5590828924162258,0.5727289615456065,0.6000000000000001,0.7148981779206861,0.6316620607974734,0.718322167200699,0.603448275862069,0.6166281755196305,0.0,0.6472630905601755,0.6557109672317499,0.466,0.646954986760812,0.368088467614534,0.6755879967558799,0.37,0.6842105263157894,0.4242424242424242,0.2835046728971962,0.1825613079019074,0.2651508602057577,0.3525179856115109,0.6116666666666666,0.5502248875562219,0.3071593533487298,0.3071593533487298
109,DET,0.4067796610169492,0.0,2018-09-30,0.4218420435903444,0.6266786034019695,0.5889803183119663,0.5825,0.4545454545454545,0.4833680775854255,0.5203836930455635,0.6423982869379012,0.7528658125421445,0.806654902949332,0.563180661577608,0.4282655246252677,0.6666666666666666,0.4579330160725509,0.6030869876316057,0.3527336860670194,0.6663636363636364,0.1499250374812593,0.5785319652722968,0.2497320471596999,0.4823151125401929,0.240334679746105,0.2522226005372073,0.0,0.2236446363846688,0.4578754578754578,0.368088467614534,0.368088467614534,0.5825,0.6928406466512702,0.3406521739130435,0.3936363636363635,0.3074202169470209,0.1547344110854503,0.5291005291005291,0.4674902470741222,0.533,0.7502679528403001,0.4737465455981051,0.4174191669094086,0.3419540229885057,0.23094688221709,0.0,0.581741752718633,0.3673701378935402,0.2,0.323918799646955,0.5797788309636651,0.2700729927007299,0.2588888888888889,0.4384210526315789,0.5251515151515151,0.2897196261682243,0.2724795640326976,0.5273623238523385,0.2212230215827338,0.2783333333333333,0.2503748125937031,0.3071593533487298,0.3071593533487298
110,DAL,0.4406779661016949,1.0,2018-09-30,0.1954534801968596,0.32855863921217543,0.2906337864678722,0.3325,0.5763636363636363,0.4743043596483277,0.1606714628297362,0.3211991434689507,0.3482805124747135,0.3612301487269976,0.21458015267175565,0.1434689507494646,0.2233333333333333,0.4121397144652958,0.1515894919758765,0.2345679012345679,0.5454545454545454,0.5502248875562219,0.4206787687450671,0.3569131832797428,0.5712754555198284,0.240334679746105,0.380849695456437,0.2233333333333333,0.4035628904141282,0.8058608058608059,0.1579778830963665,0.1579778830963665,0.3325,0.3856812933025403,0.5941304347826086,0.3636363636363637,0.3606875229261645,0.23094688221709,0.5,0.4737135426342188,0.267,0.3569131832797428,0.2368732727990525,0.1939994174191668,0.2509482758620689,0.3856812933025403,0.2233333333333333,0.6107100429498309,0.1779271487174417,0.334,0.323918799646955,0.5260663507109005,0.2976480129764801,0.2222222222222222,0.4210526315789473,0.4748484848484849,0.5280373831775701,0.2724795640326976,0.5908187083945707,0.616906474820144,0.5549999999999999,0.4992503748125937,0.4618937644341801,0.4618937644341801
111,ATL,0.6101694915254238,1.0,2018-09-30,0.5001171783454418,0.5223813786929274,0.5614827043619574,0.1675,0.5454545454545454,0.5589594851808213,0.4004796163069544,0.4282655246252675,0.5279838165879973,0.5124779430299975,0.553002544529262,0.4989293361884369,0.2233333333333333,0.6833078926102182,0.4344270673617498,0.2345679012345679,0.4545454545454545,0.3493253373313343,0.2628255722178374,0.3933547695605573,0.4105037513397642,0.2980380842469706,0.2471531797374493,0.3333333333333333,0.282794786766407,0.3846153846153845,0.368088467614534,0.4218009478672985,0.25,0.23094688221709,0.5145652173913045,0.6968181818181819,0.603495257559084,0.3856812933025403,0.382716049382716,0.4303362437302619,0.7000000000000001,0.7856377277599144,0.737070667193052,0.7669676667637635,0.5459770114942528,0.4618937644341801,0.3333333333333333,0.5403454262999178,0.421736766668314,0.4,0.441306266548985,0.368088467614534,0.2976480129764801,0.5188888888888888,0.5089473684210526,0.4948484848484847,0.4081308411214953,0.2724795640326976,0.2766490879225382,0.3651079136690647,0.4449999999999999,0.4002998500749625,0.3856812933025403,0.4618937644341801
112,ARI,0.288135593220339,1.0,2018-09-30,0.0314037965783923,0.059982094897045514,0.0653390770500683,0.5825,0.6063636363636363,0.3836671802773497,0.1199040767386091,0.178800856531049,0.3482805124747135,0.3529115200403327,0.16198473282442746,0.1434689507494646,0.5566666666666666,0.2717967136571787,0.1175508535214147,0.2945326278659612,0.2727272727272727,0.3493253373313343,0.2367797947908445,0.3933547695605573,0.39281886387995707,0.0672244662435083,0.0996103355653917,0.11,0.1567826019896661,0.34798534798534786,0.1058451816745655,0.1058451816745655,0.0,0.0,0.4202173913043477,0.5000000000000001,0.4829691348320494,0.6166281755196305,0.5,0.4644250417982538,0.3,0.4640943193997856,0.5132254243979472,0.5243227497815321,0.4041954022988506,0.4618937644341801,0.7766666666666666,0.37128758110207444,0.4036475065487075,0.4,0.441306266548985,0.4218009478672985,0.48661800486618,0.2966666666666666,0.5436842105263158,0.4242424242424242,0.4501869158878504,0.0,0.3516037001815509,0.6348920863309353,0.3883333333333333,0.3493253373313343,0.3856812933025403,0.3856812933025403
113,SEA,0.3389830508474576,0.0,2018-09-30,0.3829388329036793,0.29856759176365255,0.3284494544328938,0.4175,0.5454545454545454,0.3595576905646696,0.4004796163069544,0.5717344753747322,0.3819959541469994,0.4202167885051676,0.3994910941475825,0.4989293361884369,0.3333333333333333,0.5845380263984915,0.3185628130430338,0.2945326278659612,0.3936363636363637,0.7001499250374813,0.5785319652722968,0.3569131832797428,0.7320471596998929,0.3462204270051933,0.1954753527787235,0.11,0.3007634765173132,0.30402930402930395,0.4218009478672985,0.4218009478672985,0.25,0.3071593533487298,0.4928260869565217,0.6968181818181819,0.5991196352774719,0.3071593533487298,0.5,0.4241129481701653,0.533,0.6430868167202574,0.5132254243979472,0.4270317506554033,0.5306321839080459,0.23094688221709,0.2233333333333333,0.6088823905693138,0.5288390253546187,0.066,0.293909973521624,0.4218009478672985,0.32441200324412,0.4444444444444444,0.5089473684210526,0.7069696969696969,0.4439252336448598,0.4550408719346049,0.5677358001210339,0.2985611510791366,0.2783333333333333,0.2503748125937031,0.3856812933025403,0.4618937644341801
114,CIN,0.6271186440677966,0.0,2018-09-30,0.5704241856104991,0.5971351835273052,0.5193334537106301,0.5,0.5154545454545454,0.580077947974259,0.3597122302158273,0.2141327623126336,0.5731625084288606,0.5966725485253339,0.5216284987277353,0.5717344753747323,0.5566666666666666,0.5654125886684026,0.437800265767147,0.2945326278659612,0.3336363636363636,0.1994002998500749,0.4206787687450671,0.2497320471596999,0.39281886387995707,0.1921523369878822,0.2257405515832482,0.2233333333333333,0.2467802884244621,0.5311355311355311,0.5797788309636651,0.5797788309636651,0.3325,0.3856812933025403,0.572391304347826,0.7272727272727274,0.6235916784572655,0.23094688221709,0.7354497354497355,0.7740107746609697,0.5670000000000001,0.6077170418006431,0.8026056060007896,0.7378386251092339,0.5632183908045978,0.4618937644341801,0.2233333333333333,0.5446404093941333,0.5716898136707358,0.734,0.323918799646955,0.263823064770932,0.40551500405515,0.1855555555555555,0.3857894736842105,0.3636363636363636,0.4174766355140187,0.3623978201634878,0.5619434598426557,0.616906474820144,0.4449999999999999,0.4002998500749625,0.3856812933025403,0.3856812933025403
115,HOU,0.6271186440677966,0.0,2018-09-30,0.3360674947269745,0.5223813786929274,0.5967188588232258,0.4175,0.6063636363636363,0.4592585878727453,0.3201438848920863,0.3211991434689507,0.4494268374915712,0.5124779430299975,0.5309414758269718,0.3576017130620985,0.3333333333333333,0.5255454790338511,0.2946948788715118,0.2345679012345679,0.5154545454545454,0.4992503748125937,0.4996053670086819,0.7856377277599143,0.8215434083601285,0.3652625504904789,0.3505844966519124,0.11,0.2467802884244621,0.5128205128205129,0.263823064770932,0.263823064770932,0.5,0.5381062355658198,0.4130434782608695,0.5454545454545455,0.4821044909081381,0.3856812933025403,0.6172839506172839,0.8483187813486903,0.4,0.4640943193997856,0.6446900908014213,0.5630643751820565,0.4932758620689655,0.23094688221709,0.2233333333333333,0.5577081239148314,0.3888202441555873,0.266,0.235657546337158,0.5260663507109005,0.4598540145985401,0.1111111111111111,0.4736842105263157,0.4142424242424243,0.3255607476635513,0.1825613079019074,0.3660413244575083,0.383093525179856,0.3333333333333333,0.2998500749625187,0.5381062355658198,0.6928406466512702
116,IND,0.576271186440678,1.0,2018-09-30,0.3438012655261308,0.4028648164726946,0.322439187969149,0.3325,0.6063636363636363,0.4955134596211366,0.7194244604316548,0.7141327623126337,0.696561024949427,0.6722964456768339,0.35368956743002533,0.3576017130620985,0.3333333333333333,0.4660141869444195,0.4122457323929264,0.1181657848324515,0.4845454545454545,0.2503748125937031,0.473559589581689,0.6077170418006431,0.6248660235798499,0.2114829774956723,0.1904059319789657,0.11,0.2647489781753682,0.4267399267399266,0.315955766192733,0.315955766192733,0.5,0.5381062355658198,0.4928260869565217,0.4545454545454546,0.489074044961484,0.23094688221709,0.382716049382716,0.328162734534646,0.433,0.6430868167202574,0.4737465455981051,0.3591610836003495,0.4693390804597701,0.5381062355658198,0.11,0.7155259069724939,0.4382444521326545,0.066,0.235657546337158,0.368088467614534,0.1889699918896999,0.2222222222222222,0.2984210526315789,0.5657575757575758,0.3535981308411214,0.0899182561307902,0.4611394484308809,0.3057553956834533,0.4449999999999999,0.4002998500749625,0.4618937644341801,0.4618937644341801
117,JAX,0.5254237288135594,1.0,2018-09-30,0.3203655964377783,0.41808415398388543,0.4488353496530554,0.3325,0.6672727272727272,0.7099610260128704,0.5995203836930456,0.5717344753747322,0.5057316250842888,0.5628938744643306,0.391857506361323,0.3576017130620985,0.2233333333333333,0.4711322618299361,0.4735766124910558,0.4109347442680776,0.4545454545454545,0.1994002998500749,0.3946329913180741,0.2497320471596999,0.37513397642015,0.2885170225043278,0.2925509779442364,0.0,0.3367779748592582,0.5183150183150182,0.315955766192733,0.315955766192733,0.4175,0.3856812933025403,0.3767391304347826,0.439090909090909,0.3737881884399726,0.5381062355658198,0.1763668430335097,0.1423927178153446,0.433,0.7148981779206861,0.4867745756020529,0.5726769589280511,0.3955747126436782,0.23094688221709,0.5566666666666666,0.4361692406104359,0.3492808777739337,0.466,0.353045013239188,0.4218009478672985,0.5409570154095701,0.4077777777777777,0.631578947368421,0.4342424242424242,0.308411214953271,0.2724795640326976,0.3544566439007521,0.3057553956834533,0.2783333333333333,0.2998500749625187,0.23094688221709,0.3856812933025403
